"directory","file_name","variable_name","variable_type","description"
"data","cleanteamghana.rda","uuid","character","Unique identifier for each record"
"data","cleanteamghana.rda","submission_time","date","Timestamp of the survey submission"
"data","cleanteamghana.rda","area","character","Area of the observation"
"data","cleanteamghana.rda","district","character","District of the observation"
"data","cleanteamghana.rda","community","character","Community of the observation"
"data","cleanteamghana.rda","cleanliness_of_neighborhood","character","Perceived cleanliness of the neighborhood"
"data","cleanteamghana.rda","safety_of_neighborhood","character","Perceived safety of the neighborhood"
"data","cleanteamghana.rda","development_priority_of_neighborhood","character","Development priority of the neighborhood"
"data","cleanteamghana.rda","age_of_respondent","integer","Age of the respondent"
"data","cleanteamghana.rda","sex_respondent","character","Gender of the respondent"
"data","cleanteamghana.rda","marital_status","character","Marital status of the respondent"
"data","cleanteamghana.rda","highest_level_of_education","character","Highest level of education completed by the respondent"
"data","cleanteamghana.rda","employment_type","character","Type of employment of the respondent"
"data","cleanteamghana.rda","house_ownership","character","Ownership status of the house"
"data","cleanteamghana.rda","landlord_residence","character","Whether the landlord resides in the same location"
"data","cleanteamghana.rda","female_less_5","integer","Number of females under 5 years old living in the house"
"data","cleanteamghana.rda","female_from_5_to_18","character","Number of females between 5 and 18 years old living in the house"
"data","cleanteamghana.rda","female_more_18","integer","Number of females over 18 years old living in the house"
"data","cleanteamghana.rda","male_less_5","character","Number of males under 5 years old living in the house"
"data","cleanteamghana.rda","male_from_5_to_18","character","Number of males between 5 and 18 years old living in the house"
"data","cleanteamghana.rda","male_more_18","integer","Number of males over 18 years old living in the house"
"data","cleanteamghana.rda","number_households_sharing","character","Number of households sharing a facility"
"data","cleanteamghana.rda","number_of_households","character","Total number of households in the house/area?"
"data","cleanteamghana.rda","number_of_rooms","character","Total number of rooms in the house"
"data","cleanteamghana.rda","daily_toilet_usage","character","Frequency of toilet usage per day"
"data","cleanteamghana.rda","electricity_situation","character","Electricity situation in the house"
"data","cleanteamghana.rda","fuel_used_for_cooking","character","Type of fuel used for cooking"
"data","cleanteamghana.rda","location_of_water_source","character","Location of water source"
"data","cleanteamghana.rda","able_to_observe_toilet","character","Ability to observe a toilet in the area by the interviewer"
"data","cleanteamghana.rda","cant_afford_toilet","character","Inability to afford a toilet by inhabitants of the house"
"data","cleanteamghana.rda","functioning_toilet","character","Presence of a functioning toilet"
"data","cleanteamghana.rda","functioning_toilet_is_ctg","character","The functioning toilet is from Clean Team Ghana?"
"data","cleanteamghana.rda","handwashing_facility","character","Availability of a handwashing facility"
